msrp,rank,name,city,state,allocation
Yes,1,KERBECK (Now CIOCCA) CHEVROLET,ATLANTIC CITY,NJ,866
Yes,2,MAC MULKIN CHEVROLET CADILLAC,NASHUA,NH,778
Yes,3,LES STANFORD CHEVROLET CADILLAC,DEARBORN,MI,321
Yes,4,CRISWELL CHEVROLET,GAITHERSBURG,MD,308
Yes,5,BOMNIN CHEVROLET DADELAND,MIAMI,FL,296
Yes,6,STINGRAY CHEVROLET,PLANT CITY,FL,235
Yes,7,COUGHLIN AUTOMOTIVE,PATASKALA,OH,170
Yes,8,RICK HENDRICK CHEVROLET,DULUTH,GA,132
Yes,9,JIM ELLIS CHEVROLET,CHAMBLEE,GA,131
Yes,10,GEORGE MATICK CHEVROLET,REDFORD,MI,130
Yes,11,CLASSIC CHEVROLET,GRAPEVINE,TX,126
Yes,12,BOMNIN CHEVROLET WEST KENDALL,MIAMI,FL,121
NO,13,VAN CHEVROLET,SCOTTSDALE,AZ,119
Yes,14,HENDRICK CHEVROLET,CARY,NC,110
Yes,15,DON MEALEY CHEVROLET,CLERMONT,FL,102
Yes,16,CLASSIC CHEVROLET,SUGAR LAND,TX,97
NO,16,RYDELL CHEVROLET,NORTHRIDGE,CA,97
Yes,16,ESTERO BAY CHEVROLET,ESTERO,FL,97
Yes,19,RICK HENDRICK CITY CHEVROLET,CHARLOTTE,NC,92
Yes,20,BILL STASEK CHEVROLET,INC.,WHEELING,IL,89
NO,21,KEVIN WHITAKER CHEVROLET,GREENVILLE,SC,83
???,22,DAN CUMMINS CHEVROLET-BUICK,PARIS,KY,82
Yes,23,RICK HENDRICK CHEVROLET NAPLES,NAPLES,FL,80
???,24,JON HALL CHEVROLET,INC.,DAYTONA BEACH,FL,78
Yes,25,BOARDWALK CHEVROLET,REDWOOD CITY,CA,77
Yes,26,RICK HENDRICK CHEVROLET OF BUFORD,BUFORD,GA,76
Yes,26,VAN BORTEL CHEVROLET,INC.,MACEDON,NY,76
???,28,MAHER CHEVROLET,SAINT PETERSBURG,FL,74
???- 29,ROSS DOWNING CHEVROLET,HAMMOND,LA,70 (conflicting info on this one)
Yes,30,HENDRICK CHEVROLET,HOOVER,AL,69
NO,30,STONEBRIAR CHEVROLET,FRISCO,TX,69
NO,32,PARKWAY CHEVROLET,INC.,TOMBALL,TX,68
NO,33,BACHMAN AUTO GROUP,INC.,LOUISVILLE,KY,66
Yes,33,PAUL MASSE CHEVROLET,E PROVIDENCE,RI,66
NO,35,MAC HAIK CHEVROLET,HOUSTON,TX,63
Yes,35,HENDRICK CHEVROLET SHAWNEE MISSION,MERRIAM,KS,63
NO,37,FINDLAY CHEVROLET,LAS VEGAS,NV,62
Yes,38,BOB STALL CHEVROLET,LA MESA,CA,60
Yes,39,SELMAN CHEVROLET,ORANGE,CA,59
Yes,40,GRIECO CHEVROLET OF DELRAY BEACH,DELRAY BEACH,FL,57
Yes,41,LANDERS CHEVROLET OF NORMAN,NORMAN,OK,54
???,42,CONNELL CHEVROLET,COSTA MESA,CA,52
???,42,FERMAN CHEVROLET,TAMPA,FL,52
Yes,42,AUTONATION CHEVROLET GREENACRES,GREENACRES,FL,52
Yes,45,RICK HENDRICK CHEVROLET,NORFOLK,VA,50
???,46,HARE CHEVROLET,NOBLESVILLE,IN,49
???,47,SCHUMACHER CHEVROLET,LAKE PARK,FL,47
Yes,47,BOMNIN CHEVROLET MANASSAS,MANASSAS,VA,47
???,47,TROPICAL CHEVROLET,MIAMI,FL,47
???,47,HARBOR CHEVROLET,LONG BEACH,CA,47
Yes,51,LYNN LAYTON CHEVROLET,DECATUR,AL,46
???,51,SIMPSON CHEVROLET OF IRVINE,IRVINE,CA,46
Yes,51,COGGIN CHEVROLET AT THE AVENUES,JACKSONVILLE,FL,46
NO,54,LOU BACHRODT CHEVROLET,COCONUT CREEK,FL,44
NO,54,AUTONATION CHEVROLET PEMBROKE PINES,PEMBROKE PINES,FL,44
???,56,TERRY LABONTE CHEVROLET,GREENSBORO,NC,42
???,56,BUFF WHELAN CHEVROLET,STERLING HEIGHTS,MI,42
???,56,MCCLUSKEY CHEVROLET,CINCINNATI,OH,42
Yes,56,COLUMBIA CHEVROLET,MONTGOMERY,OH,42
???,60,SUNSET CHEVROLET,SARASOTA,FL,41
Yes,60,WHITMOYER BUICK-CHEVROLET,MOUNT JOY,PA,41
NO,62,MIDWAY CHEVROLET,PHOENIX,AZ,38
???,62,*** CHEVROLET,BRADENTON,FL,38
NO,62,F H DAILEY CHEVROLET,SAN LEANDRO,CA,38
Yes,65,CAMPBELL CHEVROLET OF BOWLING GREEN,BOWLING GREEN,KY,37
???,66,LOEHMANN-BLASIUS CHEVROLET,WATERBURY,CT,36
???,66,TIM LALLY CHEVROLET,WARRENSVILLE HEIGHTS,OH,36
NO,66,REEDER CHEVROLET,KNOXVILLE,TN,36
???,66,ELCO CHEVROLET,BALLWIN,MO,36
Yes,66,SIR WALTER CHEVROLET COMPANY,RALEIGH,NC,36
???,71,RAY HUFFINES CHEVROLET,PLANO,TX,35
NO,71,DIMMITT CHEVROLET,CLEARWATER,FL,35
???,71,RIVERSIDE CHEVROLET,RIVERSIDE,CA,35
???,71,WALLACE CHEVROLET,LLC,STUART,FL,35
???,75,SERRA CHEVROLET,MADISON,TN,34
Yes,75,BRIDGEWATER CHEVROLET,BRIDGEWATER,NJ,34
???,75,THE CHEVROLET EXCHANGE,LAKE BLUFF,IL,34
NO,78,WALTERS ELKLAND CHEVROLET,ELKLAND,PA,33 not accepting sold orders
Yes,78,WESTSIDE CHEVROLET,KATY,TX,33
???,78,SUN CHEVROLET,MC MURRAY,PA,33
???,78,CABLE-DAHMER CHEVROLET,INDEPENDENCE,MO,33
Yes,78,LASH CHEVROLET,JOHNSTOWN,OH,33
???,78,FREMONT CHEVROLET,FREMONT,CA,33
NO,78,KEYES CHEVROLET,VAN NUYS,CA,33
???,78,RICK HENDRICK CHEVROLET,CHARLESTON,SC,33
NO,78,LINDSAY CHEVROLET,WOODBRIDGE,VA,33
???,87,JEFF SCHMITT CHEVROLET EAST,BEAVERCREEK,OH,32
???,87,JEFF GORDON CHEVROLET,WILMINGTON,NC,32
???,87,TED BRITT CHEVROLET,STERLING,VA,32
???,87,RELIABLE CHEVROLET,RICHARDSON,TX,32
???,87,PENSKE CHEVROLET OF CERRITOS,CERRITOS,CA,32
???,87,BUD'S CHEVROLET,SAINT MARYS,OH,32
???,93,WIN CHEVROLET,CARSON,CA,31
NO,93,ALLEN GWYNN CHEVROLET,GLENDALE,CA,31
???,93,MATT SAXE CHEVROLET BUICK,BELLE PLAINE,MN,31
???,93,LONE STAR CHEVROLET,JERSEY VILLAGE,TX,31
Yes,93,RED RIVER CHEVROLET,BOSSIER CITY,LA,31
Yes,93,NIMNICHT CHEVROLET COMPANY,JACKSONVILLE,FL,31
???,93,STEVENS CREEK CHEVROLET,SAN JOSE,CA,31
???,100,BAYWAY CHEVROLET,PEARLAND,TX,30
Yes,100,KARL CHEVROLET,ANKENY,IA,30
Yes,100,CAPITOL CHEVROLET,AUSTIN,TX,30
???,100,NEW SMYRNA BEACH CHEVROLET,NEW SMYRNA BEACH,FL,30
Yes,100,STARLING CHEVROLET,ORLANDO,FL,30
???,100,MIAMI LAKES CHEVROLET,HIALEAH,FL,30
